OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=2009.463s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5050,tp_dst=80 actions=set_field:00:00:00:00:03:01->eth_dst,output:5
 cookie=0x0, duration=2009.460s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5050,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2009.458s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5050 actions=set_field:00:00:00:00:03:02->eth_dst,output:6
 cookie=0x0, duration=2009.453s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5050 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2008.463s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5051,tp_dst=80 actions=set_field:00:00:00:00:02:01->eth_dst,output:3
 cookie=0x0, duration=2008.460s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5051,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2008.458s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5051 actions=set_field:00:00:00:00:02:02->eth_dst,output:4
 cookie=0x0, duration=2008.456s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5051 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2007.462s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5052,tp_dst=80 actions=set_field:00:00:00:00:03:01->eth_dst,output:5
 cookie=0x0, duration=2007.460s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5052,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2007.456s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5052 actions=set_field:00:00:00:00:03:02->eth_dst,output:6
 cookie=0x0, duration=2007.454s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5052 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2006.461s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5053,tp_dst=80 actions=set_field:00:00:00:00:02:01->eth_dst,output:3
 cookie=0x0, duration=2006.459s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5053,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2006.456s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5053 actions=set_field:00:00:00:00:02:02->eth_dst,output:4
 cookie=0x0, duration=2006.453s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5053 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2005.456s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5054,tp_dst=80 actions=set_field:00:00:00:00:03:01->eth_dst,output:5
 cookie=0x0, duration=2005.453s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5054,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2005.451s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5054 actions=set_field:00:00:00:00:03:02->eth_dst,output:6
 cookie=0x0, duration=2005.449s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5054 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2004.454s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5055,tp_dst=80 actions=set_field:00:00:00:00:02:01->eth_dst,output:3
 cookie=0x0, duration=2004.451s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5055,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
 cookie=0x0, duration=2004.448s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5055 actions=set_field:00:00:00:00:02:02->eth_dst,output:4
 cookie=0x0, duration=2004.443s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5055 actions=set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0x0, duration=2003.456s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5056,tp_dst=80 actions=set_field:00:00:00:00:03:01->eth_dst,output:5
 cookie=0x0, duration=2003.453s, table=0, n_packets=0, n_bytes=0, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5056,tp_dst=80 actions=set_field:00:00:00:00:01:02->eth_dst,output:2
