NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2633.154s, table=0, n_packets=0, n_bytes=0, idle_age=2633, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5050,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2633.151s, table=0, n_packets=0, n_bytes=0, idle_age=2633, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5050,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2633.148s, table=0, n_packets=0, n_bytes=0, idle_age=2633, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5050 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2633.143s, table=0, n_packets=0, n_bytes=0, idle_age=2633, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5050 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2632.158s, table=0, n_packets=0, n_bytes=0, idle_age=2632, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5051,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2632.155s, table=0, n_packets=0, n_bytes=0, idle_age=2632, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5051,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2632.153s, table=0, n_packets=0, n_bytes=0, idle_age=2632, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5051 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2632.149s, table=0, n_packets=0, n_bytes=0, idle_age=2632, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5051 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2631.158s, table=0, n_packets=0, n_bytes=0, idle_age=2631, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5052,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2631.156s, table=0, n_packets=0, n_bytes=0, idle_age=2631, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5052,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2631.154s, table=0, n_packets=0, n_bytes=0, idle_age=2631, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5052 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2631.152s, table=0, n_packets=0, n_bytes=0, idle_age=2631, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5052 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2630.157s, table=0, n_packets=0, n_bytes=0, idle_age=2630, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5053,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2630.154s, table=0, n_packets=0, n_bytes=0, idle_age=2630, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5053,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2630.153s, table=0, n_packets=0, n_bytes=0, idle_age=2630, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5053 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2630.150s, table=0, n_packets=0, n_bytes=0, idle_age=2630, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5053 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2629.158s, table=0, n_packets=0, n_bytes=0, idle_age=2629, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5054,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2629.156s, table=0, n_packets=0, n_bytes=0, idle_age=2629, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5054,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2629.154s, table=0, n_packets=0, n_bytes=0, idle_age=2629, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5054 actions=mod_dl_dst:00:00:00:00:02:02,output:4
